product,abs_error
5,0.19075486467542271
41,0.1824955490718569
4,0.17589728168669275
1,0.17435480126551473
27,0.17366845092850833
47,0.1669198431014468
34,0.1643199941382225
16,0.1620020477066238
40,0.15760927001156685
44,0.15747811401293776
37,0.1573159058673837
23,0.15659798040088874
49,0.15603196986455745
17,0.1507780254078304
3,0.14664835339949495
42,0.14465117055942617
19,0.13649597840851496
21,0.1363643553509238
30,0.13544235649726227
39,0.13272178298115994
32,0.13243401136782842
26,0.1307342938251688
43,0.12585668507100292
20,0.1258271242390086
9,0.12436000360746065
48,0.12179072885851026
46,0.1176089529987887
14,0.11698274894906369
2,0.11582796161865187
6,0.11456306982530756
7,0.11378695701758104
35,0.11188646152674755
12,0.11183153088036436
31,0.11148423343446019
50,0.10885735908929467
29,0.10872565350302531
24,0.10760663581978111
33,0.10696127361613236
11,0.10636949736430068
10,0.10588351063733463
8,0.1042039361756501
45,0.10313146549352067
36,0.10294179360151638
38,0.10125925759345077
25,0.10121805463420068
22,0.10026592165660252
13,0.09915617924149722
18,0.09850923309344709
15,0.09781579194517905
28,0.09545649504998129
